row ID,International Union for Conservation of Nature Category,Description,SPEC,Species,COU,Country,Unit Code,Unit,PowerCode Code,PowerCode,Value
Row0,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,380
Row1,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,353
Row2,ENDANGERED,Number of endangered species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,38
Row3,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,10
Row4,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,59
Row5,THREATENED,Total number of threatened species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,107
Row6,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,101
Row7,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,101
Row8,ENDANGERED,Number of endangered species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,6
Row9,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,4
Row10,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,17
Row11,THREATENED,Total number of threatened species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,27
Row12,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,6
Row13,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,4
Row14,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,17
Row15,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,84
Row16,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,65
Row17,ENDANGERED,Number of endangered species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,2
Row18,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,4
Row19,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,12
Row20,THREATENED,Total number of threatened species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,18
Row21,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,2
Row22,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,4
Row23,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,12
Row24,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,221
Row25,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,209
Row26,ENDANGERED,Number of endangered species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,10
Row27,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,31
Row28,THREATENED,Total number of threatened species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,52
Row29,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,10
Row30,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,31
Row31,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,95
Row32,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,92
Row33,ENDANGERED,Number of endangered species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,1
Row34,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,10
Row35,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,4
Row36,THREATENED,Total number of threatened species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,15
Row37,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,71
Row38,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,54
Row39,ENDANGERED,Number of endangered species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,2
Row40,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,1
Row41,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,6
Row42,THREATENED,Total number of threatened species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,9
Row43,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,2
Row44,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,1
Row45,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,6
Row46,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,FIN,Finland,NBR,Number,0,Units,75
Row47,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,FIN,Finland,NBR,Number,0,Units,67
Row48,ENDANGERED,Number of endangered species,MAMMAL,Mammals,FIN,Finland,NBR,Number,0,Units,4
Row49,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,FIN,Finland,NBR,Number,0,Units,1
Row50,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,FIN,Finland,NBR,Number,0,Units,2
Row51,THREATENED,Total number of threatened species,MAMMAL,Mammals,FIN,Finland,NBR,Number,0,Units,7
Row52,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,FIN,Finland,NBR,Number,0,Units,4
Row53,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,FIN,Finland,NBR,Number,0,Units,1
Row54,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,FIN,Finland,NBR,Number,0,Units,2
Row55,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,FRA,France,NBR,Number,0,Units,125
Row56,ENDANGERED,Number of endangered species,MAMMAL,Mammals,FRA,France,NBR,Number,0,Units,4
Row57,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,FRA,France,NBR,Number,0,Units,3
Row58,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,FRA,France,NBR,Number,0,Units,10
Row59,THREATENED,Total number of threatened species,MAMMAL,Mammals,FRA,France,NBR,Number,0,Units,17
Row60,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,DEU,Germany,NBR,Number,0,Units,107
Row61,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,DEU,Germany,NBR,Number,0,Units,98
Row62,ENDANGERED,Number of endangered species,MAMMAL,Mammals,DEU,Germany,NBR,Number,0,Units,10
Row63,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,DEU,Germany,NBR,Number,0,Units,7
Row64,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,DEU,Germany,NBR,Number,0,Units,22
Row65,THREATENED,Total number of threatened species,MAMMAL,Mammals,DEU,Germany,NBR,Number,0,Units,39
Row66,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,DEU,Germany,NBR,Number,0,Units,10
Row67,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,DEU,Germany,NBR,Number,0,Units,7
Row68,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,DEU,Germany,NBR,Number,0,Units,22
Row69,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,115
Row70,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,113
Row71,ENDANGERED,Number of endangered species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,13
Row72,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,3
Row73,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,13
Row74,THREATENED,Total number of threatened species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,29
Row75,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,13
Row76,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,3
Row77,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,GRC,Greece,NBR,Number,0,Units,13
Row78,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,87
Row79,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,76
Row80,ENDANGERED,Number of endangered species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,3
Row81,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,5
Row82,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,6
Row83,THREATENED,Total number of threatened species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,14
Row84,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,3
Row85,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,5
Row86,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,HUN,Hungary,NBR,Number,0,Units,6
Row87,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ISL,Iceland,NBR,Number,0,Units,4
Row88,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,0,Units,57
Row89,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,0,Units,46
Row90,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,0,Units,1
Row91,THREATENED,Total number of threatened species,MAMMAL,Mammals,IRL,Ireland,NBR,Number,0,Units,1
Row92,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ITA,Italy,NBR,Number,0,Units,126
Row93,ENDANGERED,Number of endangered species,MAMMAL,Mammals,ITA,Italy,NBR,Number,0,Units,8
Row94,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,ITA,Italy,NBR,Number,0,Units,2
Row95,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,ITA,Italy,NBR,Number,0,Units,13
Row96,THREATENED,Total number of threatened species,MAMMAL,Mammals,ITA,Italy,NBR,Number,0,Units,23
Row97,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,JPN,Japan,NBR,Number,0,Units,160
Row98,ENDANGERED,Number of endangered species,MAMMAL,Mammals,JPN,Japan,NBR,Number,0,Units,12
Row99,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,JPN,Japan,NBR,Number,0,Units,13
Row100,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,JPN,Japan,NBR,Number,0,Units,9
Row101,THREATENED,Total number of threatened species,MAMMAL,Mammals,JPN,Japan,NBR,Number,0,Units,34
Row102,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,125
Row103,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,1
Row104,ENDANGERED,Number of endangered species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,4
Row105,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,1
Row106,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,9
Row107,THREATENED,Total number of threatened species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,14
Row108,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,0
Row109,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,KOR,Korea,NBR,Number,0,Units,0
