COU,Country,Status,Species,Animals
AUS,Australia,KNOW,INVERTEB,114095
ITA,Italy,KNOW,INVERTEB,58632
AUT,Austria,KNOW,INVERTEB,45244
GBR,United Kingdom,KNOW,INVERTEB,36242
POL,Poland,KNOW,INVERTEB,33872
NZL,New Zealand,KNOW,INVERTEB,33000
CZE,Czech Republic,KNOW,INVERTEB,32627
KOR,Korea,KNOW,INVERTEB,27568
LTU,Lithuania,KNOW,INVERTEB,25000
SVK,Slovak Republic,KNOW,INVERTEB,24818
COL,Colombia,KNOW,VASCULAR_PLANT,24633
AUS,Australia,KNOW,VASCULAR_PLANT,23968
FIN,Finland,KNOW,INVERTEB,23950
MEX,Mexico,KNOW,VASCULAR_PLANT,23296
TUR,Turkey,KNOW,INVERTEB,20636
CAN,Canada,KNOW,INVERTEB,19938
NOR,Norway,KNOW,INVERTEB,18010
LVA,Latvia,KNOW,INVERTEB,17100
CHL,Chile,KNOW,INVERTEB,12220
TUR,Turkey,KNOW,VASCULAR_PLANT,12145
COL,Colombia,KNOW,INVERTEB,10999
DEU,Germany,KNOW,INVERTEB,10434
EST,Estonia,KNOW,INVERTEB,9808
ITA,Italy,KNOW,VASCULAR_PLANT,8195
ESP,Spain,KNOW,VASCULAR_PLANT,7603
JPN,Japan,KNOW,VASCULAR_PLANT,7000
CHL,Chile,KNOW,VASCULAR_PLANT,6103
GRC,Greece,KNOW,VASCULAR_PLANT,5850
AUS,Australia,KNOW,FISH,5305
JPN,Japan,KNOW,INVERTEB,5300
BEL,Belgium,KNOW,INVERTEB,5238
CAN,Canada,KNOW,VASCULAR_PLANT,5185
AUS,Australia,KNOW,FISH,5051
NZL,New Zealand,KNOW,VASCULAR_PLANT,5038
FRA,France,KNOW,VASCULAR_PLANT,4982
GBR,United Kingdom,KNOW,VASCULAR_PLANT,4562
KOR,Korea,KNOW,VASCULAR_PLANT,4552
DEU,Germany,KNOW,VASCULAR_PLANT,4305
JPN,Japan,KNOW,FISH,4300
DNK,Denmark,KNOW,INVERTEB,4270
COL,Colombia,KNOW,FISH,4192
JPN,Japan,KNOW,FISH,3900
AUS,Australia,KNOW,LICHEN,3880
DEU,Germany,THREAT,INVERTEB,3752
SVK,Slovak Republic,KNOW,VASCULAR_PLANT,3619
PRT,Portugal,KNOW,VASCULAR_PLANT,3607
CZE,Czech Republic,THREAT,INVERTEB,3526
SVN,Slovenia,KNOW,VASCULAR_PLANT,3452
NOR,Norway,KNOW,VASCULAR_PLANT,3243
CHE,Switzerland,KNOW,INVERTEB,3154
POL,Poland,KNOW,VASCULAR_PLANT,3139
AUT,Austria,KNOW,VASCULAR_PLANT,2950
DNK,Denmark,KNOW,VASCULAR_PLANT,2918
GBR,United Kingdom,KNOW,LICHEN,2875
MEX,Mexico,KNOW,FISH,2763
HUN,Hungary,KNOW,VASCULAR_PLANT,2721
ITA,Italy,KNOW,LICHEN,2704
CHE,Switzerland,KNOW,VASCULAR_PLANT,2613
COL,Colombia,KNOW,FISH,2582
ESP,Spain,KNOW,LICHEN,2426
DEU,Germany,KNOW,LICHEN,2380
CZE,Czech Republic,KNOW,VASCULAR_PLANT,2256
MEX,Mexico,KNOW,FISH,2224
DEU,Germany,VULN,INVERTEB,2183
AUT,Austria,KNOW,LICHEN,2100
NOR,Norway,KNOW,LICHEN,2032
EST,Estonia,KNOW,VASCULAR_PLANT,2013
COL,Colombia,KNOW,BIRD,1954
LVA,Latvia,KNOW,VASCULAR_PLANT,1937
AUS,Australia,KNOW,MOSS,1871
CRI,Costa Rica,KNOW,FISH,1835
BEL,Belgium,KNOW,VASCULAR_PLANT,1818
JPN,Japan,KNOW,MOSS,1800
JPN,Japan,THREAT,VASCULAR_PLANT,1790
COL,Colombia,KNOW,MOSS,1718
POL,Poland,KNOW,LICHEN,1701
COL,Colombia,KNOW,LICHEN,1673
SVK,Slovak Republic,THREAT,INVERTEB,1636
COL,Colombia,KNOW,FISH,1610
JPN,Japan,KNOW,LICHEN,1600
FIN,Finland,KNOW,LICHEN,1594
SWE,Sweden,KNOW,VASCULAR_PLANT,1561
CZE,Czech Republic,KNOW,LICHEN,1526
SVK,Slovak Republic,KNOW,LICHEN,1508
DEU,Germany,THREAT,VASCULAR_PLANT,1410
NLD,Netherlands,KNOW,VASCULAR_PLANT,1395
CHL,Chile,KNOW,LICHEN,1383
CAN,Canada,KNOW,FISH,1376
CAN,Canada,KNOW,MOSS,1373
AUS,Australia,THREAT,VASCULAR_PLANT,1341
CZE,Czech Republic,VULN,INVERTEB,1339
LTU,Lithuania,KNOW,VASCULAR_PLANT,1334
LUX,Luxembourg,KNOW,VASCULAR_PLANT,1323
KOR,Korea,KNOW,FISH,1290
TUR,Turkey,THREAT,VASCULAR_PLANT,1282
CHL,Chile,KNOW,FISH,1272
CAN,Canada,THREAT,INVERTEB,1265
NOR,Norway,THREAT,INVERTEB,1257
FIN,Finland,THREAT,INVERTEB,1255
FIN,Finland,KNOW,VASCULAR_PLANT,1240
IRL,Ireland,KNOW,INVERTEB,1230
CAN,Canada,KNOW,FISH,1211
ITA,Italy,KNOW,MOSS,1209
DEU,Germany,KNOW,MOSS,1195
CHL,Chile,KNOW,FISH,1182
CRI,Costa Rica,KNOW,VASCULAR_PLANT,1179
CZE,Czech Republic,ENDG,INVERTEB,1173
ESP,Spain,KNOW,FISH,1146
KOR,Korea,KNOW,LICHEN,1133
MEX,Mexico,KNOW,BIRD,1117
CAN,Canada,THREAT,VASCULAR_PLANT,1107
ESP,Spain,KNOW,MOSS,1100
KOR,Korea,KNOW,FISH,1088
NOR,Norway,KNOW,MOSS,1085
POL,Poland,THREAT,INVERTEB,1081
AUS,Australia,KNOW,REPTILE,1080
CHE,Switzerland,THREAT,INVERTEB,1074
ESP,Spain,KNOW,FISH,1064
FRA,France,KNOW,INVERTEB,1060
DEU,Germany,THREAT,LICHEN,1052
IRL,Ireland,KNOW,VASCULAR_PLANT,1050
SVK,Slovak Republic,VULN,INVERTEB,1036
AUT,Austria,KNOW,MOSS,1016
CZE,Czech Republic,CRIT,INVERTEB,1014
DEU,Germany,ENDG,INVERTEB,1010
DNK,Denmark,KNOW,LICHEN,1002
MEX,Mexico,KNOW,MOSS,1000
TUR,Turkey,KNOW,LICHEN,1000
CHE,Switzerland,KNOW,MOSS,996
AUT,Austria,THREAT,VASCULAR_PLANT,985
AUT,Austria,THREAT,INVERTEB,968
MEX,Mexico,KNOW,REPTILE,953
KOR,Korea,KNOW,MOSS,925
CHL,Chile,KNOW,MOSS,923
SVK,Slovak Republic,KNOW,MOSS,909
CZE,Czech Republic,THREAT,VASCULAR_PLANT,908
CZE,Czech Republic,KNOW,MOSS,892
FIN,Finland,KNOW,MOSS,892
CRI,Costa Rica,KNOW,BIRD,888
ESP,Spain,THREAT,VASCULAR_PLANT,881
BRA,Brazil,KNOW,AMPHIBIAN,877
CAN,Canada,KNOW,LICHEN,857
COL,Colombia,KNOW,AMPHIBIAN,850
BEL,Belgium,KNOW,LICHEN,838
DEU,Germany,VULN,VASCULAR_PLANT,820
GBR,United Kingdom,KNOW,MOSS,805
AUS,Australia,KNOW,BIRD,799
CAN,Canada,VULN,INVERTEB,765
COL,Colombia,KNOW,REPTILE,743
JPN,Japan,VULN,VASCULAR_PLANT,741
FIN,Finland,VULN,INVERTEB,739
COL,Colombia,THREAT,VASCULAR_PLANT,721
TUR,Turkey,KNOW,FISH,716
HUN,Hungary,KNOW,LICHEN,715
CHE,Switzerland,KNOW,LICHEN,713
NOR,Norway,VULN,INVERTEB,706
POL,Poland,KNOW,MOSS,702
JPN,Japan,KNOW,BIRD,700
LVA,Latvia,KNOW,LICHEN,687
NLD,Netherlands,KNOW,LICHEN,683
CAN,Canada,KNOW,BIRD,674
CHE,Switzerland,THREAT,VASCULAR_PLANT,670
GRC,Greece,KNOW,FISH,665
HUN,Hungary,KNOW,MOSS,659
ITA,Italy,KNOW,FISH,641
ESP,Spain,KNOW,BIRD,641
ITA,Italy,THREAT,VASCULAR_PLANT,631
GBR,United Kingdom,KNOW,FISH,622
DNK,Denmark,THREAT,INVERTEB,602
EST,Estonia,KNOW,MOSS,598
IRL,Ireland,KNOW,MOSS,596
GBR,United Kingdom,KNOW,BIRD,590
AUS,Australia,VULN,VASCULAR_PLANT,588
MEX,Mexico,THREAT,VASCULAR_PLANT,576
POL,Poland,VULN,INVERTEB,571
CZE,Czech Republic,THREAT,LICHEN,569
BEL,Belgium,THREAT,INVERTEB,566
MEX,Mexico,KNOW,MAMMAL,564
LVA,Latvia,KNOW,MOSS,560
DEU,Germany,CRIT,INVERTEB,559
EST,Estonia,KNOW,LICHEN,556
AUS,Australia,ENDG,VASCULAR_PLANT,555
DEU,Germany,VULN,LICHEN,546
POL,Poland,THREAT,LICHEN,545
ITA,Italy,KNOW,FISH,544
JPN,Japan,ENDG,VASCULAR_PLANT,529
COL,Colombia,KNOW,MAMMAL,528
KOR,Korea,KNOW,BIRD,527
SVK,Slovak Republic,THREAT,VASCULAR_PLANT,527
BEL,Belgium,KNOW,MOSS,521
JPN,Japan,CRIT,VASCULAR_PLANT,520
NLD,Netherlands,KNOW,MOSS,517
GRC,Greece,KNOW,FISH,511
CHL,Chile,KNOW,BIRD,510
NLD,Netherlands,KNOW,INVERTEB,507
TUR,Turkey,KNOW,BIRD,506
MEX,Mexico,KNOW,FISH,505
BEL,Belgium,THREAT,LICHEN,495
POL,Poland,THREAT,VASCULAR_PLANT,489
CHE,Switzerland,VULN,INVERTEB,487
TUR,Turkey,KNOW,FISH,480
IRL,Ireland,KNOW,BIRD,478
LTU,Lithuania,KNOW,MOSS,470
CAN,Canada,VULN,VASCULAR_PLANT,467
AUT,Austria,VULN,VASCULAR_PLANT,465
NOR,Norway,ENDG,INVERTEB,459
ITA,Italy,THREAT,INVERTEB,456
POL,Poland,KNOW,BIRD,456
DNK,Denmark,KNOW,MOSS,452
CRI,Costa Rica,KNOW,INVERTEB,447
AUT,Austria,THREAT,LICHEN,443
GRC,Greece,KNOW,BIRD,440
ESP,Spain,VULN,VASCULAR_PLANT,439
ISL,Iceland,KNOW,VASCULAR_PLANT,438
CHL,Chile,THREAT,VASCULAR_PLANT,426
BEL,Belgium,THREAT,VASCULAR_PLANT,423
FRA,France,THREAT,VASCULAR_PLANT,421
MEX,Mexico,KNOW,AMPHIBIAN,413
CZE,Czech Republic,ENDG,VASCULAR_PLANT,412
BRA,Brazil,THREAT,FISH,409
DEU,Germany,THREAT,MOSS,409
IRL,Ireland,KNOW,FISH,404
TUR,Turkey,KNOW,FISH,402
GBR,United Kingdom,THREAT,INVERTEB,402
CHE,Switzerland,THREAT,MOSS,401
SVK,Slovak Republic,ENDG,INVERTEB,401
JPN,Japan,KNOW,FISH,400
FRA,France,KNOW,BIRD,396
FIN,Finland,ENDG,INVERTEB,393
PRT,Portugal,KNOW,BIRD,393
LTU,Lithuania,KNOW,BIRD,389
HUN,Hungary,THREAT,VASCULAR_PLANT,382
AUS,Australia,KNOW,MAMMAL,380
SVN,Slovenia,KNOW,BIRD,380
DEU,Germany,ENDG,VASCULAR_PLANT,378
IRL,Ireland,KNOW,FISH,376
AUS,Australia,KNOW,FISH,375
GBR,United Kingdom,THREAT,VASCULAR_PLANT,366
CHE,Switzerland,VULN,VASCULAR_PLANT,362
CHE,Switzerland,ENDG,INVERTEB,358
POL,Poland,ENDG,INVERTEB,358
SVK,Slovak Republic,THREAT,LICHEN,357
NLD,Netherlands,THREAT,VASCULAR_PLANT,356
AUT,Austria,VULN,INVERTEB,356
LUX,Luxembourg,THREAT,VASCULAR_PLANT,354
MEX,Mexico,VULN,VASCULAR_PLANT,350
